x,y,z
0.456395,0.223101,0.866762
0.4564,0.223103,0.866779
0.456407,0.223089,0.86681
0.456391,0.223121,0.866762
0.456403,0.223099,0.866787
0.456383,0.223123,0.866752
0.456391,0.223115,0.866759
0.456409,0.223103,0.866778
0.456397,0.223099,0.866777
0.456396,0.223115,0.866773
0.456403,0.223101,0.866786
0.456401,0.223101,0.866793
0.456387,0.223114,0.866766
0.456418,0.223078,0.866791
0.456414,0.223081,0.866782
0.456396,0.223111,0.866787
0.45639,0.223112,0.866749
0.456385,0.22311,0.866772
0.456407,0.223085,0.866764
0.456407,0.223093,0.866793
0.456417,0.22309,0.866803
0.45641,0.223091,0.866796
0.456402,0.223108,0.866797
0.456392,0.223108,0.866808
0.456393,0.223117,0.866764
0.4564,0.223105,0.866804
0.456405,0.223101,0.866784
0.456402,0.223096,0.866769
0.456406,0.22308,0.866785
0.456413,0.223084,0.866782
0.456391,0.223114,0.866761
0.456382,0.223109,0.86674
0.456399,0.223086,0.866749
0.456403,0.22309,0.866766
0.456399,0.223103,0.86679
0.456395,0.223105,0.866763
0.456404,0.223102,0.866774
0.456398,0.223104,0.866772
0.456397,0.223088,0.866757
0.456401,0.223101,0.866779
0.456395,0.223081,0.866743
0.456412,0.223088,0.866791
0.456406,0.223097,0.866779
0.456406,0.223101,0.866782
0.456399,0.223104,0.86678
0.456404,0.223089,0.866776
0.456388,0.223106,0.86675
0.456392,0.22312,0.866793
0.456407,0.223101,0.866787
0.456592,0.223959,0.867298
0.462116,0.253388,0.887116
0.461109,0.316578,0.942346
0.420217,0.393439,1.0442
0.331829,0.432776,1.1526
0.227279,0.423702,1.23157
0.153746,0.396334,1.26598
0.12114,0.380331,1.27572
0.116459,0.377885,1.27686
0.116441,0.377906,1.27684
0.11645,0.377899,1.27684
0.116448,0.377898,1.27684
0.120698,0.376971,1.27437
0.158262,0.364325,1.25017
0.188525,0.346756,1.22653
0.213118,0.324884,1.2027
0.231839,0.299874,1.17879
0.244235,0.27315,1.15548
0.250444,0.245938,1.13301
0.250595,0.219503,1.11177
0.248707,0.205482,1.10072
0.294629,0.173139,1.09268
0.375583,0.116038,1.07853
0.454615,0.0602653,1.06495
0.512588,0.0193569,1.05474
0.536321,0.00261167,1.05061
0.539111,0.000907305,1.05016
0.523588,0.0163853,1.05307
0.479544,0.060499,1.06113
0.424394,0.115613,1.07137
0.371183,0.168822,1.08129
0.317866,0.222142,1.0911
0.281458,0.258549,1.09786
0.212467,0.327523,1.11069
0.135328,0.404647,1.12494
0.0674138,0.472607,1.13746
0.0186137,0.521461,1.14648
0.00229601,0.537701,1.14961
-0.0011122,0.539374,1.14987
-0.0107281,0.529302,1.14792
-0.0443015,0.49572,1.14181
-0.0954933,0.444506,1.13237
-0.14877,0.39122,1.12252
-0.206275,0.333718,1.11183
-0.250026,0.28998,1.1037
-0.302915,0.237082,1.0939
-0.379458,0.160554,1.07972
-0.451351,0.0886579,1.06636
-0.509856,0.0301406,1.05549
-0.535431,0.00456429,1.05083
-0.539564,-0.0009913,1.04978
-0.526788,-0.0132352,1.04758
-0.48654,-0.0534941,1.04009
-0.433266,-0.106709,1.03023
-0.385843,-0.15415,1.02146
-0.330968,-0.209041,1.01126
-0.293373,-0.24662,1.00432
-0.262438,-0.277566,0.998588
-0.198171,-0.341835,0.986673
-0.123426,-0.416564,0.97286
-0.0572201,-0.482767,0.960566
-0.0142005,-0.525792,0.952668
-0.00154706,-0.53872,0.950228
0.00183353,-0.538362,0.950269
0.0155245,-0.524468,0.952831
0.0556432,-0.484336,0.960243
0.109721,-0.430305,0.970264
0.166873,-0.373114,0.980886
0.222269,-0.31774,0.991175
0.256067,-0.283929,0.997406
0.292169,-0.247824,1.00411
0.366276,-0.173697,1.01785
0.43972,-0.100286,1.03139
0.502369,-0.0376124,1.04296
0.533048,-0.0069608,1.04872
0.539989,-6.96742e-05,1.05002
