x,y,z
0.392276,0.103514,1.07455
0.454384,0.0599935,1.06423
0.512342,0.0193812,1.05459
0.536046,0.00277099,1.05065
0.539115,0.000955673,1.05016
0.524294,0.0157071,1.0529
0.480632,0.0593687,1.06099
0.425488,0.114513,1.0712
0.372468,0.167534,1.08102
0.316758,0.223243,1.09134
0.281729,0.258272,1.09782
0.213271,0.326731,1.1105
0.1364,0.403602,1.12474
0.0683967,0.471606,1.13733
0.0193524,0.520651,1.14641
0.00256149,0.537431,1.14952
-0.000998087,0.539584,1.14991
-0.0091178,0.53088,1.1483
-0.0399239,0.500075,1.1426
-0.0904096,0.449589,1.13325
-0.14378,0.396219,1.12337
-0.201021,0.338979,1.11277
-0.245346,0.294653,1.10456
-0.302762,0.237238,1.09393
-0.38135,0.15865,1.07938
-0.453314,0.0866876,1.06605
-0.51179,0.0282117,1.05522
-0.536236,0.00377171,1.05069
-0.539089,-0.00138626,1.04974
-0.524739,-0.0152622,1.04717
-0.484627,-0.0553743,1.03974
-0.433401,-0.1066,1.03025
-0.402338,-0.137662,1.0245
-0.36104,-0.178954,1.01686
-0.313943,-0.226058,1.00813
-0.27637,-0.26363,1.00118
-0.214965,-0.325036,0.989804
-0.138449,-0.401552,0.975634
-0.0697596,-0.470241,0.962912
-0.0198379,-0.520162,0.953666
-0.00245127,-0.537562,0.950445
0.00136276,-0.539098,0.95016
0.0126961,-0.527302,0.952344
0.0511032,-0.488896,0.959457
0.104582,-0.435417,0.969362
0.161803,-0.378197,0.979959
0.218341,-0.321659,0.99043
0.252597,-0.287403,0.996774
0.287633,-0.252367,1.00326
0.360976,-0.179024,1.01684
0.434754,-0.105247,1.0305
0.499081,-0.0409203,1.04242
0.532191,-0.00781372,1.04855
0.540001,-3.28766e-07,1.04999
0.540001,-3.28766e-07,1.04999
